metric,count,denominator,percent
regional_somascan_pqtl_variants,165,,
regional_pd_gwas_variants,6368,,
primary_harmonised_coloc_variants,150,,
susie_input_variants,146,,
primary_harmonised_retention_from_pqtl,150,165.0,90.9090909090909
susie_retention_from_harmonised,146,150.0,97.33333333333334
susie_retention_from_pqtl,146,165.0,88.48484848484848
pqtl_region_min_pos,22817187,,
pqtl_region_max_pos,23802656,,
pd_region_min_pos,22814629,,
pd_region_max_pos,23814469,,
harmonised_region_min_pos,22817187,,
harmonised_region_max_pos,23802656,,
susie_region_min_pos,22817187,,
susie_region_max_pos,23802656,,
max_pqtl_positional_gap_bp,43370,,
max_harmonised_positional_gap_bp,43370,,
max_susie_positional_gap_bp,43370,,
pqtl_gaps_gt_50kb,0,,
harmonised_gaps_gt_50kb,0,,
susie_gaps_gt_50kb,0,,
