dataset_label,file,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,interpretation
CommonMind_DLPFC,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/CommonMind_DLPFC_coloc_abf_result.rds,3097,5.877917333919071e-100,1.0911668373527901e-5,2.6806570133261363e-96,0.04881209576357262,0.9511769925680605,Strong evidence for shared causal signal
BrainSeq_DLPFC,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/BrainSeq_DLPFC_coloc_abf_result.rds,3212,5.643498693602521e-29,1.0753332715587261e-5,2.7817443434159653e-25,0.052056460549464084,0.9479327861178135,Strong evidence for shared causal signal
GTEx_brain_frontal_cortex_DLPFC,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_brain_frontal_cortex_DLPFC_coloc_abf_result.rds,2615,4.939504398419986e-19,1.0479820484711333e-5,2.6253111993660014e-15,0.05475425980365985,0.945235260375855,Strong evidence for shared causal signal
GTEx_skin_sun_exposed,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_skin_sun_exposed_coloc_abf_result.rds,3040,1.0676243239558368e-07,1.2371168300020217e-5,4.8439753793232625e-4,0.055185571316984504,0.94431755321435,Strong evidence for shared causal signal
GTEx_brain_cortex,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_brain_cortex_coloc_abf_result.rds,2684,4.8278418348123305e-22,1.1929301227957133e-5,2.425281087562486e-18,0.058986207117002816,0.9410018635817661,Strong evidence for shared causal signal
GTEx_brain_caudate,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_brain_caudate_coloc_abf_result.rds,2702,1.612770482325999e-14,1.3983280362886308e-5,8.571835352138914e-11,0.0733941985653153,0.926591818068586,Strong evidence for shared causal signal
GTEx_brain_putamen,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_brain_putamen_coloc_abf_result.rds,2670,2.871255090047144e-21,1.8634544448083922e-5,1.526065969824607e-17,0.09814036616642019,0.9018409992891322,Strong evidence for shared causal signal
GTEx_skin_not_sun_exposed,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_skin_not_sun_exposed_coloc_abf_result.rds,3042,2.949309582721432e-6,1.7816814359577385e-5,0.014816088427931206,0.08860761134007704,0.8965555341080488,Strong evidence for shared causal signal
GTEx_substantia_nigra,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/GTEx_substantia_nigra_coloc_abf_result.rds,2377,4.8529994449911784e-5,3.6771771214753935e-5,0.25793427407711855,0.1948928712254824,0.5470875529317337,Moderate evidence for shared causal signal
Alasoo_2018_macrophage_IFNg,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Alasoo_2018_macrophage_IFNg_coloc_abf_result.rds,2092,3.025082330636437e-5,7.662926930086496e-5,0.1638806433348791,0.4147096780718732,0.4213027985006403,Weak or unclear colocalisation evidence
Alasoo_2018_macrophage_IFNg_Salmonella,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Alasoo_2018_macrophage_IFNg_Salmonella_coloc_abf_result.rds,2092,3.2251564958283945e-5,7.591912767361794e-5,0.17471945012512227,0.41086956071716857,0.4143028184650768,Weak or unclear colocalisation evidence
Alasoo_2018_macrophage_naive,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Alasoo_2018_macrophage_naive_coloc_abf_result.rds,2092,2.0220500809135908e-5,9.060317268722593e-5,0.10954242955951109,0.4904332144718561,0.39991353229513726,Evidence favours distinct causal signals
Alasoo_2018_macrophage_Salmonella,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Alasoo_2018_macrophage_Salmonella_coloc_abf_result.rds,2092,7.436310961160889e-5,5.204085164070019e-5,0.40285429986854865,0.28161041377045626,0.3154088823997433,Weak or unclear colocalisation evidence
Nedelec_2016_macrophage_Salmonella,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Nedelec_2016_macrophage_Salmonella_coloc_abf_result.rds,3123,1.3632396637260386e-4,4.415470796533696e-5,0.6171920755015744,0.19972278013375702,0.18290466569033062,Evidence favours distinct causal signals
Young_2019_microglia_naive,MR_colocalisation_submission/appendix_full_outputs/gpnmb_local_coloc_outputs/local_coloc_outputs/Young_2019_microglia_naive_coloc_abf_result.rds,2447,1.4967810747043396e-4,3.7859192066993276e-5,0.6774805945989892,0.17120906062917626,0.1511228074722978,Evidence favours distinct causal signals
