Track	ID	Location	Name	Biotype	OverlappingSNPs
GenesFw	ENSG00000156928	7:23298739-23311729	MALSU1	protein_coding	rs149821,rs466240,rs17729322,rs199359
GenesFw	ENSG00000136235	7:23235967-23275111	GPNMB	protein_coding	rs10262243,rs1881203,rs199348,rs199347,rs858275,rs9639460,rs858274,rs28458177,rs858273,rs199355,rs10085838,rs199351,rs112399978,rs10250602,rs156429,rs2307783,rs156425,rs28635122,rs7794684,rs34323745,rs156421,rs2268747,rs77253147,rs5850
Regulat	ENSR7_9C89X	7:23261885-23262288	undefined	Enhancer	
Regulat	ENSR7_57GPNL	7:23262025-23262046	undefined	CTCF binding site	
Regulat	ENSR7_57GPRP	7:23262697-23262718	undefined	CTCF binding site	
Regulat	ENSR7_57GRLG	7:23273227-23273248	undefined	CTCF binding site	
Regulat	ENSR7_57GRML	7:23273470-23273491	undefined	CTCF binding site	
Regulat	ENSR7_9C8G5	7:23276433-23276743	undefined	Enhancer	
Regulat	ENSR7_57GS6P	7:23276519-23276540	undefined	CTCF binding site	
Regulat	ENSR7_B6LPN	7:23277147-23277779	undefined	Enhancer	rs55633349
Regulat	ENSR7_8NH5P	7:23287673-23287925	undefined	Enhancer	
Regulat	ENSR7_9C8NM	7:23298009-23299349	undefined	Promoter	rs199359,rs17729322,rs466240
